disease_id,name_vi,name_en,chapter,main_topic_url,related_topics_count,related_topics_titles
benh_choc,Bệnh chốc,Impetigo,Bệnh da nhiễm khuẩn,https://dermnetnz.org/topics/impetigo,2,Deep impetigo images | Impetigo pathology
nhot,Nhọt,Furuncle,Bệnh da nhiễm khuẩn,,0,
viem_nang_long_pdf,Viêm nang lông,Folliculitis,Bệnh da nhiễm khuẩn,https://dermnetnz.org/topics/folliculitis,22,Acne agminata | Acne cheloidalis nuchae | Bacterial folliculitis | Barber’s itch | Dissecting cellulitus of the scalp | Disseminate and recurrent infundibulofolliculitis | Eosinophilic folliculitis pathology | Eosinophilic pustular folliculitis | Eosinophilic pustular folliculitis of infancy | Folliculitis barbae | Folliculitis decalvans | Folliculitis images | Folliculitis keloidalis nuchae pathology | Gram-negative folliculitis | Hot tub dermatitis | Malassezia folliculitis | Malassezia folliculitis pathology | Necrotising infundibular crystalline folliculitis pathology | Perforating folliculitis pathology | Scalp folliculitis | Scalp folliculitis images | Spa pool folliculitis images
hoi_chung_bong_vay_da_do_tu_cau,Hội chứng bong vảy da do tụ cầu,Staphylococcal Scalded Skin Syndrome,Bệnh da nhiễm khuẩn,https://dermnetnz.org/topics/staphylococcal-scalded-skin-syndrome,3,Bacterial cellulitis | Recurring cold staphylococcal abscesses | Staphylococcal skin infection
mun_trung_ca_pdf,Trứng cá,Acne,Bệnh da nhiễm khuẩn,https://dermnetnz.org/topics/acne,40,"Acne affecting the face images | Acne agminata | Acne and other follicular disorders | Acne cheloidalis nuchae | Acne due to a medicine | Acne erythematosa | Acne excorie | Acne fulminans | Acne in children | Acne in pregnancy | Acne inversa | Acne mimics: what else could it be? | Acne naevus | Acne neonatorum | Acne scarring | Acne scars and how to get rid of them | Acne treatment | Acne urticata | Acne vulgaris | Acneiform drug eruptions | Adult acne | Antibiotics for acne | Bacteria in acne | Blue light acne treatment | Chloracne | Comedonal acne | Cystic acne | Familial recurrent arthritis | How to get rid of acne | How to get rid of back acne | Infantile acne images | Inflammatory lesions in acne | Investigations in acne | Lasers, lights, and acne | Psychological effects of acne | SAPHO syndrome | Steroid acne | Steroid acne images | Topical acne treatments | What causes acne?"
lao_da,Bệnh lao da,Cutaneous tuberculosis,Bệnh da nhiễm khuẩn,https://dermnetnz.org/topics/cutaneous-tuberculosis,137,Acquired chronic mucocutaneous candidiasis | Acrochordon | Acrodermatitis chronica atrophicans | Actinophytosis | Actinophytosis pathology | Acute febrile mucocutaneous lymph node syndrome | Acute mercury poisoning from fish | Adenoid cystic eccrine carcinoma of skin | Adverse cutaneous reaction to drug | Adverse cutaneous reactions to drugs | Adverse cutaneous reactions to psychotropic drugs | Adverse cutaneous reactions to vaccines | AL amyloidosis | Alcohol use and skin diseases | Angiomatosis oculo-orbital-thalamo-encephalic syndrome | Angiosarcoma | Antibiotic-induced rashes | Antiepileptic medicines | Bacterial cellulitis | Bairnsdale ulcer | Benign cutaneous lymphoid hyperplasia | Benign lymphogranulomatosis of Schaumann | Benign lymphoplasmacytic plaque | Bernhardt Rot syndrome | Busse Buschke disease | Calcinosis cutis | Calcinosis cutis pathology | Cancer metastasis to skin | Candidiasis pathology | Capillary vascular malformation | Cellular histiocytoma of skin pathology | Chronic cutaneous lupus erythematosus | Chronic infantile neurological | Cornu cutaneum | Cornu cutaneum images | Creeping eruption pathology | Crohn disease of anogenital skin | Crohn disease of skin | Crosti lymphoma | CTCL images | CTCL pathology | Cutaneous abscess | Cutaneous adverse effects of antimelanoma therapies | Cutaneous adverse effects of checkpoint inhibitors | Cutaneous adverse effects of targeted anticancer therapies | Cutaneous adverse reactions to calcineurin inhibitors | Cutaneous amyloidosis | Cutaneous anatomy | Cutaneous B-cell lymphoma | Cutaneous bronchogenic cyst pathology | Cutaneous changes due to hepatotrophic viruses | Cutaneous collagenous vasculopathy | Cutaneous Crohn disease pathology | Cutaneous cysts and pseudocysts | Cutaneous diphtheria | Cutaneous dysaesthesia | Cutaneous effects of drugs of abuse | Cutaneous endometriosis | Cutaneous face mask and respirator reactions | Cutaneous fibrous histiocytoma | Cutaneous hepatic porphyria | Cutaneous larva migrans | Cutaneous livedo with nodules | Cutaneous lupus erythematosus | Cutaneous lupus erythematosus images | Cutaneous lymphadenoma disease pathology | Cutaneous lymphoid hyperplasia | Cutaneous manifestations of inflammatory bowel disease | Cutaneous marginal zone lymphoma | Cutaneous markers of internal malignancy | Cutaneous melanoma | Cutaneous meningospinal angiomatosis | Cutaneous microbiome | Cutaneous monosymptomatic delusional psychosis | Cutaneous mosaicism | Cutaneous mucinoses | Cutaneous myeloid sarcoma | Cutaneous myiasis | Cutaneous neurofibroma pathology | Cutaneous optical coherence tomography | Cutaneous plasmacytoma pathology | Cutaneous plasmacytosis | Cutaneous plasmacytosis pathology | Cutaneous SCC in Asians | Cutaneous SCC pathology | Cutaneous side effects of EGFR and protein kinase inhibitors | Cutaneous signs of trauma and death | Cutaneous small vessel vasculitis | Cutaneous small-medium pleomorphic T-cell lymphoma pathology | Cutaneous squamous cell carcinoma | Cutaneous squamous cell carcinoma dermoscopy | Cutaneous T-cell lymphoma | Cutaneous tuberculosis images | Cutaneous tuberculosis pathology | Cutaneous vasculitis | Cutaneous viral warts | Degos disease | Dermato osteopoikilosis | Diffuse cutaneous erysipeloid | Drug induced chronic cutaneous LE | EBV-positive mucocutaneous ulcer | Electron beam radiation for cutaneous lymphoma | Erythema multiforme images | Fat naevus | Fat naevus pathology | Florid cutaneous papillomatosis | Focal cutaneous mucinosis pathology | GA pathology | Hereditary leiomyomatosis and renal cell cancer syndrome | Hydroxycarbamide-induced skin ulcer | Indolent cutaneous CD8+ lymphoid proliferation pathology | Inflammation of subcutaneous fat | Intracutaneous test | Macular amyloidosis | Maculopapular cutaneous mastocytosis | Maculopapular cutaneous mastocytosis pathology | Neonatal subcutaneous fat necrosis | Neurocutaneous melanosis | Nodular lymphangitis | Paracoccidioidomycosis pathology | Phakomatosis pigmentovascularis | Plaque-like cutaneous mucinosis | Primary cutaneous amyloidosis pathology | Primary cutaneous anaplastic large-cell lymphoma | Primary cutaneous CD30 antigen positive large T-cell lymphoma | Primary cutaneous diffuse large B cell lymphoma pathology | Psychological effects of cutaneous lupus erythematosus | Reactive infectious mucocutaenous eruption | Recurrent cutaneous necrotising eosinophilic vasculitis | Sarcoidosis | Sarcoidosis pathology | SCAR | Subacute cutaneous lupus erythematosus | Subcutaneous fat necrosis of the newborn pathology | Subcutaneous incisional surgery | Subcutaneous panniculitis-like T-cell lymphoma pathology | Tuberculosis with hypersensitivity reaction
benh_phong,Bệnh phong,Leprosy,Bệnh da nhiễm khuẩn,https://dermnetnz.org/topics/leprosy,6,Amazonic pseudolepromatous blastomycosis | Benign lymphogranulomatosis of Schaumann | Lepra reactions | Leprosy pathology | Sarcoidosis | Sarcoidosis pathology
benh_ghe,Bệnh ghẻ,Scabies,Bệnh da do ký sinh trùng - côn trùng,https://dermnetnz.org/topics/scabies,5,Boeck scabies | Crusted scabies pathology | Institutional scabies | Scabies pathology | Trichoscopy of head lice
lang_ben_pdf,Lang ben,Pityriasis versicolor,Bệnh da do ký sinh trùng - côn trùng,https://dermnetnz.org/topics/pityriasis-versicolor,14,Acute pityriasis lichenoides pathology | Chronic pityriasis lichenoides | Cradle cap | Dandruff | Dermatoscopy of tinea versicolor | Dermatosis papulosa adultorum | Devergie disease | Keratomycosis nigricans | Pityriasis alba | Pityriasis amiantacea | Pityriasis circinata | Pityriasis circinata et maculata | Pityriasis rubra pilaris pathology | Pityriasis versicolor pathology
nam_da,Bệnh da do nấm sợi,Dermatophytosis,Bệnh da do ký sinh trùng - côn trùng,https://dermnetnz.org/topics/tinea,11,Athletes foot | Barbers itch | Body tinea | Candidal onychia | Corticosteroid-modified dermatophytosis | Dermatophytosis | Dermatophytosis of hand | Dermatophytosis of scalp | Genitocrural dermatophytosis | Suppurative dermatophytosis | Therapies for dermatophytosis
